name,iso_num,iso_2,iso_3,ioc_cc,fifa_cc,wiki_data_id,wiki_id
کامبوج,,,,,,Q424,کامبوج
کامرون,,,,,,Q1009,کامرون
کانادا,,,,,,Q16,کانادا
کره شمالی,,,,,,Q423,کره شمالی
کرواسی,,,,,,Q224,کرواسی
کلمبیا,,,,,,Q739,کلمبیا
کنیا,,,,,,Q114,کنیا
کوبا,,,,,,Q241,کوبا
کوراسائو,,,,,,Q25279,کوراسائو
کوزوو,,,,,,Q1246,کوزوو
کویت,,,,,,Q817,کویت
کیریباتی,,,,,,Q710,کیریباتی
کیپ ورد,,,,,,Q1011,کیپ ورد
گابن,,,,,,Q1000,گابن
گرجستان,,,,,,Q230,گرجستان
گرنادا,,,,,,Q769,گرنادا
گرنزی (جزیره),,,,,,Q3311985,گرنزی (جزیره)
گرینلند,,,,,,Q223,گرینلند
گواتمالا,,,,,,Q774,گواتمالا
گوادلوپ,,,,,,Q17012,گوادلوپ
گویان,,,,,,Q734,گویان
گویان فرانسه,,,,,,Q3769,گویان فرانسه
گینه,,,,,,Q1006,گینه
گینه استوایی,,,,,,Q983,گینه استوایی
گینه بیسائو,,,,,,Q1007,گینه بیسائو
یونان,,,,,,Q41,یونان
